dimension;method;time;cost;boundary_set_size;exploded_nodes
7;A*;0;14;7098;5398
7;dfs;0;16;37;17
7;greedy;0;14;414;225
7;A*;0;10;213;144
7;dfs;0;13;24;14
7;greedy;0;10;21;13
7;A*;0;12;1121;934
7;dfs;0;16;34;17
7;greedy;0;13;63;36
7;A*;0;11;427;247
7;dfs;0;20;42;21
7;greedy;0;11;89;47
7;A*;0;12;745;571
7;dfs;0;21;46;22
7;greedy;0;13;328;163
7;A*;0;11;203;168
7;dfs;0;16;24;17
7;greedy;0;11;64;44
7;A*;0;12;1136;669
7;dfs;0;18;46;19
7;greedy;0;12;553;295
7;A*;0;11;566;337
7;dfs;0;17;37;18
7;greedy;0;11;123;62
7;A*;0;13;3426;2138
7;dfs;0;20;50;21
7;greedy;0;13;228;119
7;A*;0;11;309;155
7;dfs;0;15;39;16
7;greedy;0;12;109;54
