dimension;method;time;cost;boundary_set_size;exploded_nodes
8;A*;0;12;1357;742
8;dfs;0;19;47;20
8;greedy;0;12;426;206
8;A*;0;11;842;383
8;dfs;0;13;30;14
8;greedy;0;13;275;111
8;A*;0;14;4020;2534
8;dfs;0;23;51;24
8;greedy;0;14;126;71
8;A*;0;13;2781;1500
8;dfs;0;23;55;24
8;greedy;0;14;618;310
8;A*;0;13;1922;1109
8;dfs;0;19;48;20
8;greedy;0;13;864;473
8;A*;0;11;1285;616
8;dfs;0;17;46;18
8;greedy;0;11;184;76
8;A*;0;12;2154;1346
8;dfs;0;22;48;23
8;greedy;0;12;406;200
8;A*;0;14;8323;4793
8;dfs;0;23;54;24
8;greedy;0;15;1381;693
8;A*;0;13;1146;612
8;dfs;0;20;41;21
8;greedy;0;13;622;292
8;A*;0;13;2881;1610
8;dfs;0;22;52;23
8;greedy;0;13;557;303
