dimension;method;time;cost;boundary_set_size;exploded_nodes
6;A*;0;9;69;46
6;dfs;0;16;37;17
6;bfs;0;9;1769;6111
6;greedy;0;9;66;35
6;A*;0;10;76;100
6;dfs;0;13;27;14
6;bfs;0;10;917;2311
6;greedy;0;10;31;22
6;A*;0;10;176;160
6;dfs;0;11;23;12
6;bfs;0;10;2086;7172
6;greedy;0;10;54;28
6;A*;0;10;174;116
6;dfs;0;17;28;18
6;bfs;0;10;1473;5831
6;greedy;0;11;38;22
6;A*;0;10;160;97
6;dfs;0;15;29;16
6;bfs;0;10;3592;6857
6;greedy;0;10;68;40
6;A*;0;11;343;341
6;dfs;0;15;39;16
6;bfs;0;11;2004;8963
6;greedy;0;11;82;45
6;A*;0;11;583;383
6;dfs;0;16;41;17
6;bfs;0;11;2716;13936
6;greedy;0;11;98;48
6;A*;0;11;172;125
6;dfs;0;13;26;14
6;bfs;0;11;678;4334
6;greedy;0;11;29;17
6;A*;0;10;170;122
6;dfs;0;16;37;17
6;bfs;0;10;2272;6800
6;greedy;0;10;31;21
6;A*;0;9;36;28
6;dfs;0;13;24;14
6;bfs;0;9;859;1734
6;greedy;0;9;29;18
