dimension;method;time;cost;boundary_set_size;exploded_nodes
10;A*;0;14;9127;5068
10;dfs;0;22;60;23
10;greedy;0;15;6454;3483
10;A*;0;17;57094;37541
10;dfs;0;30;78;31
10;greedy;0;17;47759;31521
10;A*;0;14;20131;11474
10;dfs;0;22;59;23
10;greedy;0;14;4070;2064
10;A*;0;17;144021;91137
10;dfs;0;30;93;31
10;greedy;0;18;32240;19480
10;A*;0;16;52853;28760
10;dfs;0;23;56;24
10;greedy;0;16;11846;6323
10;A*;0;13;5882;3188
10;dfs;0;20;43;21
10;greedy;0;16;3710;1946
10;A*;0;15;13819;7430
10;dfs;0;25;64;26
10;greedy;0;15;7630;3838
10;A*;0;16;46927;27021
10;dfs;0;26;63;27
10;greedy;0;19;3468;1906
10;A*;0;14;18794;12047
10;dfs;0;24;67;25
10;greedy;0;14;3272;1842
10;A*;0;18;380474;242265
10;dfs;0;30;85;31
10;greedy;0;18;25247;13349
