dimension;method;time;cost;boundary_set_size;exploded_nodes
9;A*;0;15;13278;7721
9;dfs;0;25;66;26
9;greedy;0;15;3806;2192
9;A*;0;13;8634;4501
9;dfs;0;24;71;25
9;greedy;0;14;3954;1961
9;A*;0;11;2555;1403
9;dfs;0;17;47;18
9;greedy;0;11;316;138
9;A*;0;15;10532;6059
9;dfs;0;17;45;18
9;greedy;0;16;4874;2746
9;A*;0;14;7420;3758
9;dfs;0;21;51;22
9;greedy;0;14;2101;1062
9;A*;0;14;6033;3423
9;dfs;0;20;52;21
9;greedy;0;15;2592;1331
9;A*;0;13;4697;2395
9;dfs;0;20;51;21
9;greedy;0;13;1911;862
9;A*;0;14;8462;5069
9;dfs;0;27;63;28
9;greedy;0;15;3897;2394
9;A*;0;13;4371;2431
9;dfs;0;20;53;21
9;greedy;0;13;819;407
9;A*;0;15;17918;10331
9;dfs;0;24;75;25
9;greedy;0;16;2815;1527
