dimension;method;time;cost;boundary_set_size
7;heuristic_grid_remaining_colors;0;12;801
7;heuristic_border_colors;0;12;2465
7;heuristic_cells_pending_per_color_remaining;0;13;5572
7;heuristic_grid_remaining_colors;0;11;600
7;heuristic_border_colors;0;11;3355
7;heuristic_cells_pending_per_color_remaining;0;12;10436
7;heuristic_grid_remaining_colors;0;9;115
7;heuristic_border_colors;0;9;711
7;heuristic_cells_pending_per_color_remaining;0;11;3284
7;heuristic_grid_remaining_colors;0;13;1689
7;heuristic_border_colors;0;13;7292
7;heuristic_cells_pending_per_color_remaining;0;14;21243
7;heuristic_grid_remaining_colors;0;11;1283
7;heuristic_border_colors;0;11;4374
7;heuristic_cells_pending_per_color_remaining;0;11;7043
7;heuristic_grid_remaining_colors;0;10;201
7;heuristic_border_colors;0;10;1022
7;heuristic_cells_pending_per_color_remaining;0;10;955
7;heuristic_grid_remaining_colors;0;12;1439
7;heuristic_border_colors;0;12;4536
7;heuristic_cells_pending_per_color_remaining;0;12;5733
7;heuristic_grid_remaining_colors;0;12;719
7;heuristic_border_colors;0;12;2936
7;heuristic_cells_pending_per_color_remaining;0;12;4006
7;heuristic_grid_remaining_colors;0;12;539
7;heuristic_border_colors;0;12;3306
7;heuristic_cells_pending_per_color_remaining;0;13;10086
7;heuristic_grid_remaining_colors;0;12;1118
7;heuristic_border_colors;0;12;5609
7;heuristic_cells_pending_per_color_remaining;0;13;16773
