dimension;method;time;cost;boundary_set_size
6;heuristic_grid_remaining_colors;0;9;50
6;heuristic_border_colors;0;9;222
6;heuristic_cells_pending_per_color_remaining;0;10;599
6;heuristic_grid_remaining_colors;0;10;97
6;heuristic_border_colors;0;10;463
6;heuristic_cells_pending_per_color_remaining;0;11;1756
6;heuristic_grid_remaining_colors;0;9;100
6;heuristic_border_colors;0;9;351
6;heuristic_cells_pending_per_color_remaining;0;10;1289
6;heuristic_grid_remaining_colors;0;8;85
6;heuristic_border_colors;0;8;298
6;heuristic_cells_pending_per_color_remaining;0;9;920
6;heuristic_grid_remaining_colors;0;10;88
6;heuristic_border_colors;0;10;388
6;heuristic_cells_pending_per_color_remaining;0;11;932
6;heuristic_grid_remaining_colors;0;11;363
6;heuristic_border_colors;0;11;1624
6;heuristic_cells_pending_per_color_remaining;0;12;5342
6;heuristic_grid_remaining_colors;0;9;124
6;heuristic_border_colors;0;9;369
6;heuristic_cells_pending_per_color_remaining;0;10;1019
6;heuristic_grid_remaining_colors;0;10;99
6;heuristic_border_colors;0;10;606
6;heuristic_cells_pending_per_color_remaining;0;10;1312
6;heuristic_grid_remaining_colors;0;9;166
6;heuristic_border_colors;0;9;375
6;heuristic_cells_pending_per_color_remaining;0;9;488
6;heuristic_grid_remaining_colors;0;10;93
6;heuristic_border_colors;0;10;285
6;heuristic_cells_pending_per_color_remaining;0;10;405
