dimension;method;time;cost;boundary_set_size;exploded_nodes
8;heuristic_grid_remaining_colors;0;11;998;580
8;heuristic_border_colors;0;11;4509;3253
8;heuristic_cells_pending_per_color_remaining;0;12;6071;4076
8;heuristic_grid_remaining_colors;0;10;200;123
8;heuristic_border_colors;0;10;886;638
8;heuristic_cells_pending_per_color_remaining;0;10;592;299
8;heuristic_grid_remaining_colors;0;13;2071;1430
8;heuristic_border_colors;0;13;4764;5832
8;heuristic_cells_pending_per_color_remaining;0;13;2750;1900
8;heuristic_grid_remaining_colors;0;13;3543;1976
8;heuristic_border_colors;0;13;15936;12358
8;heuristic_cells_pending_per_color_remaining;0;14;10619;7128
8;heuristic_grid_remaining_colors;0;12;1726;910
8;heuristic_border_colors;0;12;8480;6097
8;heuristic_cells_pending_per_color_remaining;0;14;22310;25181
8;heuristic_grid_remaining_colors;0;13;1901;1110
8;heuristic_border_colors;0;13;8440;6366
8;heuristic_cells_pending_per_color_remaining;0;14;4696;2741
8;heuristic_grid_remaining_colors;0;12;953;504
8;heuristic_border_colors;0;12;4236;2991
8;heuristic_cells_pending_per_color_remaining;0;14;17923;13150
8;heuristic_grid_remaining_colors;0;13;2681;1954
8;heuristic_border_colors;0;13;7653;7224
8;heuristic_cells_pending_per_color_remaining;0;14;8071;4492
8;heuristic_grid_remaining_colors;0;11;397;216
8;heuristic_border_colors;0;11;1731;1143
8;heuristic_cells_pending_per_color_remaining;0;13;2844;1563
8;heuristic_grid_remaining_colors;0;12;1596;790
8;heuristic_border_colors;0;12;6690;4601
8;heuristic_cells_pending_per_color_remaining;0;13;10433;7240
