dimension;method;time;cost;boundary_set_size;exploded_nodes
10;heuristic_grid_remaining_colors;0;15;19688;10732
10;heuristic_border_colors;0;15;74180;54182
10;heuristic_cells_pending_per_color_remaining;0;17;939;764
10;heuristic_grid_remaining_colors;0;15;43302;24325
10;heuristic_border_colors;0;15;165759;121038
10;heuristic_cells_pending_per_color_remaining;0;17;6345;4385
10;heuristic_grid_remaining_colors;0;17;152300;94431
10;heuristic_border_colors;0;17;514227;422334
10;heuristic_cells_pending_per_color_remaining;0;19;717;437
10;heuristic_grid_remaining_colors;0;15;47372;24467
10;heuristic_border_colors;0;15;183108;129301
10;heuristic_cells_pending_per_color_remaining;0;17;3617;2388
10;heuristic_grid_remaining_colors;0;15;15182;7931
10;heuristic_border_colors;0;15;67860;42383
10;heuristic_cells_pending_per_color_remaining;0;18;225;135
10;heuristic_grid_remaining_colors;0;16;69056;43038
10;heuristic_border_colors;0;16;227287;198834
10;heuristic_cells_pending_per_color_remaining;0;17;1757;764
10;heuristic_grid_remaining_colors;0;16;66937;41656
10;heuristic_border_colors;0;16;223622;189432
10;heuristic_cells_pending_per_color_remaining;0;19;17482;10326
10;heuristic_grid_remaining_colors;0;18;152289;101962
10;heuristic_border_colors;0;18;495794;419016
10;heuristic_cells_pending_per_color_remaining;0;20;22051;11031
10;heuristic_grid_remaining_colors;0;15;38001;22035
10;heuristic_border_colors;0;15;139167;108218
10;heuristic_cells_pending_per_color_remaining;0;17;1722;1942
10;heuristic_grid_remaining_colors;0;13;6337;2913
10;heuristic_border_colors;0;13;28203;17446
10;heuristic_cells_pending_per_color_remaining;0;16;4486;3621
